HB:t=10422,m=S,run=1,el=45,er=53,yaw=-0.6,yr=-6.6,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=10463,m=S,run=1,el=10,er=12,yaw=-2.8,yr=-6.6,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=10463,m=S,run=1,el=26,er=28,yaw=-2.8,yr=-12.4,pc=10,hd=3,dp=2,OL=13,OR=7
HB:t=10586,m=S,run=1,el=125,er=118,yaw=-3.7,yr=-12.4,pc=9,hd=4,dp=2,OL=13,OR=5
HB:t=10590,m=S,run=1,el=2,er=2,yaw=-3.7,yr=-12.4,pc=11,hd=3,dp=2,OL=14,OR=8
HB:t=10661,m=S,run=1,el=83,er=64,yaw=-3.8,yr=-9.4,pc=10,hd=3,dp=1,OL=13,OR=7
HB:t=10780,m=S,run=1,el=149,er=108,yaw=-2.7,yr=-9.4,pc=9,hd=4,dp=1,OL=13,OR=5
HB:t=10789,m=S,run=1,el=11,er=8,yaw=-2.7,yr=-9.4,pc=10,hd=2,dp=1,OL=12,OR=8
HB:t=10834,m=S,run=1,el=48,er=35,yaw=-2.3,yr=-5.1,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=10870,m=S,run=1,el=13,er=9,yaw=0.5,yr=-5.1,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=10992,m=S,run=1,el=127,er=118,yaw=1.3,yr=3.7,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=10997,m=S,run=1,el=18,er=18,yaw=1.3,yr=3.7,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=11067,m=S,run=1,el=66,er=65,yaw=3.4,yr=9.6,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=11222,m=S,run=1,el=117,er=135,yaw=3.7,yr=9.6,pc=9,hd=-4,dp=-1,OL=5,OR=13
HB:t=11222,m=S,run=1,el=51,er=62,yaw=3.7,yr=9.6,pc=9,hd=-3,dp=-1,OL=6,OR=12
HB:t=11258,m=S,run=1,el=11,er=14,yaw=2.6,yr=9.6,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=11262,m=S,run=1,el=0,er=0,yaw=2.6,yr=-0.3,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=11387,m=S,run=1,el=126,er=144,yaw=1.9,yr=-0.3,pc=9,hd=-2,dp=0,OL=7,OR=11
HB:t=11396,m=S,run=1,el=1,er=2,yaw=1.9,yr=-0.3,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=11466,m=S,run=1,el=73,er=89,yaw=-0.3,yr=-7.4,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=11587,m=S,run=1,el=122,er=124,yaw=-1.2,yr=-7.4,pc=9,hd=1,dp=1,OL=10,OR=8
HB:t=11596,m=S,run=1,el=1,er=1,yaw=-1.2,yr=-7.4,pc=11,hd=1,dp=1,OL=12,OR=10
HB:t=11641,m=S,run=1,el=49,er=48,yaw=-1.4,yr=-6.7,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=11680,m=S,run=1,el=26,er=24,yaw=-2.1,yr=-9.0,pc=10,hd=2,dp=1,OL=12,OR=8
HB:t=11803,m=S,run=1,el=132,er=111,yaw=-2.0,yr=-9.0,pc=9,hd=3,dp=1,OL=12,OR=6
HB:t=11807,m=S,run=1,el=21,er=17,yaw=-2.0,yr=-9.0,pc=9,hd=2,dp=1,OL=11,OR=7
HB:t=11857,m=S,run=1,el=48,er=42,yaw=-1.9,yr=-6.4,pc=10,hd=2,dp=1,OL=12,OR=8
HB:t=11892,m=S,run=1,el=12,er=11,yaw=-0.8,yr=-6.4,pc=11,hd=2,dp=1,OL=13,OR=9
